班车号,路线,车牌,车型,到站时间,name,longitude,latitude
1号,中山公园,沪FD0815,金旅,07:00:00,延安西路程家桥路,121.375117,31.185275
1号,中山公园,沪FD0815,金旅,07:20:00,长宁路娄山关路公交站,121.404344,31.210724
1号,中山公园,沪FD0815,金旅,07:30:00,凯旋路汇川路公交站,121.417364,31.216742
2号,梅陇,沪FA1511,大通,06:50:00,莘庄(莘松路莘东路) 公交站,121.376991,31.108371
2号,梅陇,沪FA1511,大通,07:00:00,龙茗路公交站,121.387863,31.134375
2号,梅陇,沪FA1511,大通,07:20:00,凌云路梅陇路公交站,120.201454,29.019679
2号,梅陇,沪FA1511,大通,07:25:00,老沪闵路嘉川路公交站,121.424569,31.137557
2号,梅陇,沪FA1511,大通,07:30:00,上中西路老沪闵路公交站,121.431611,31.136294
2号,梅陇,沪FA1511,大通,07:35:00,上中西路龙川路公交站,117.268014,31.801350
3号,共富新村,沪EP5273,大通,07:00:00,长江西路通河路公交站,121.446386,31.333257
3号,共富新村,沪EP5273,大通,07:03:00,通河路共江路/共康八村公交站,121.435555,31.324116
3号,共富新村,沪EP5273,大通,07:05:00,共康东路岭南路公交站,121.457848,31.322956
3号,共富新村,沪EP5273,大通,07:10:00,汾西路阳曲路交行门口公交站,121.461089,31.313748
3号,共富新村,沪EP5273,大通,07:15:00,共和新路闻喜路公交站,121.448540,31.309002
3号,共富新村,沪EP5273,大通,07:25:00,广粤路奎照路公交站,121.467339,31.299227
3号,共富新村,沪EP5273,大通,07:40:00,万安路逸仙路公交站,121.488133,31.326736
4号,徐家汇,沪FA5278,大通,07:35:00,大木桥路茶陵路公交站,121.464692,31.197257
4号,徐家汇,沪FA5278,大通,07:40:00,斜土路鲁班路公交站,121.476976,31.203519
4号,徐家汇,沪FA5278,大通,07:45:00,斜土路西藏南路公交站,121.486844,31.209528
4号,徐家汇,沪FA5278,大通,07:50:00,国货路普育东路公交站,121.496098,31.209749
4号,徐家汇,沪FA5278,大通,08:00:00,浦东南路浦建路公交站,121.516415,31.209796
4号,徐家汇,沪FA5278,大通,08:10:00,民生路杨高中路公交站,121.548664,31.227510
5号,川沙,沪EQ0268,大通,07:15:00,川周公路华戴路公交站,121.698359,31.179941
5号,川沙,沪EQ0268,大通,07:20:00,华夏二路润川路公交站,121.690717,31.175566
